name,handi,move,wrbefore,wrafter,wrdiff,shaperat,shapelog,pntavebf,pntaveaf,pntavediff,pntstdbf,pntstdaf,pntstddiff,dist01,dist12,dist20,dist0b,dist1b,dist2b,lastown1,afterown1,diffown1,lastown2,afterown2,diffown2,bdec30,bdecsum,wdec30,wdecsum,label1,label2,rand
Mas02_Kob_0325_1,4,39,0.216234,0.210919,-0.005315,13.10781934,18.60960709,34.1556,33.1194,-1.0362,47.2889,46.2012,-1.0877,2.236067977,6.32455532,4.123105626,3.605551275,5.830951895,1.414213562,91,98,7,58.875,55.875,-3,0,80,1,100,bad,BIBIRI,0.323442111
Mas03_Kob_0327_1,4,15,0.225784,0.217665,-0.008119,3.435999487,20.28716897,35.016,36.0171,1.0011,48.519,47.8821,-0.6369,2.236067977,1.414213562,2.236067977,2.236067977,1.414213562,0,76,88,12,70.375,70.25,-0.125,0,36,0,69,bad,KATACHI,0.518246912
Mas03_Kob_0327_1,4,31,0.227573,0.25357,0.025997,14.44300508,19.85188073,32.4125,28.3952,-4.0173,45.6132,44.2105,-1.4027,1.414213562,8.602325267,7.211102551,3.16227766,4.472135955,5.099019514,74,96,22,64.25,37.75,-26.5,0,123,1,111,bad,OTUKIAI,0.7327598
Mas03_Kob_0327_1,4,33,0.25357,0.267106,0.013536,0.319915038,16.09437042,28.3952,28.8433,0.4481,44.2105,46.4054,2.1949,4.242640687,5.385164807,2.236067977,1,5,1.414213562,43,74,31,60,39.625,-20.375,0,9,1,77,bad,KATACHI,0.345188013
Mas03_Kob_0327_1,4,41,0.204279,0.216672,0.012393,2.960499431,20.28716897,34.1845,32.9314,-1.2531,44.3712,44.7343,0.3631,2.236067977,1.414213562,2.236067977,2.236067977,1.414213562,0,78,85,7,67.375,65.875,-1.5,0,54,0,101,bad,KATACHI,0.924989514
Mas03_Kob_0327_1,4,43,0.216672,0.22603,0.009358,11.96081729,20.17129281,32.9314,32.4334,-0.498,44.7343,46.9342,2.1999,3,2.828427125,2.236067977,1,3.16227766,1.414213562,50,89,39,46.875,20.25,-26.625,0,30,4,168,bad,HOUCHI,0.731650237
Mas03_Kob_0327_1,4,47,0.210961,0.277311,0.06635,1.076675235,16.54489946,34.1682,26.736,-7.4322,45.0024,49.489,4.4866,4,3.16227766,5.830951895,5.099019514,5.830951895,4.472135955,41,70,29,57.625,56.75,-0.875,0,85,0,111,bad,CHIISAI,0.505596354
Mas04_cho_0327_2,4,15,0.194573,0.211353,0.01678,1.981845512,17.64695949,39.1783,38.7939,-0.3844,47.4856,49.9604,2.4748,2.236067977,2.828427125,1,1,2.828427125,0,61,87,26,62.375,55.75,-6.625,0,62,1,68,bad,SOPPO,0.174310796
Mas04_cho_0327_2,4,17,0.211353,0.234409,0.023056,17.32289378,20.27876088,38.7939,36.3628,-2.4311,49.9604,51.3813,1.4209,1.414213562,2,1.414213562,1.414213562,2,0,64,84,20,61.5,60,-1.5,0,30,1,72,bad,IKKI,0.693483452
Mas04_cho_0327_2,4,19,0.234409,0.237233,0.002824,1.551318076,17.40333023,36.3628,36.0837,-0.2791,51.3813,51.5086,0.1273,2.236067977,1,2,2.236067977,4.242640687,3.605551275,46,79,33,59.25,59.5,0.25,0,54,0,34,bad,IKKI,0.865122855
Mas04_cho_0327_2,4,23,0.250548,0.250762,0.000214,19.1497294,20.18082512,34.5587,34.7042,0.1455,52.6011,52.7209,0.1198,1.414213562,3.605551275,4.123105626,1.414213562,0,3.605551275,56,81,25,51.75,43.75,-8,0,35,1,92,bad,OTUKIAI,0.976260489
Mas04_cho_0327_2,4,25,0.250762,0.253315,0.002553,5.089867047,18.25642044,34.7042,33.9667,-0.7375,52.7209,52.0143,-0.7066,3.16227766,1.414213562,4,1,2.236067977,3,67,88,21,54.75,52.5,-2.25,0,43,0,106,bad,AJIKESHI,0.070772931
Mas04_cho_0327_2,4,47,0.232346,0.243244,0.010898,26.69698602,20.36807913,34.7693,31.7143,-3.055,49.1392,48.0863,-1.0529,2,1,2.236067977,2.236067977,1,0,35,74,39,58.75,46.875,-11.875,0,27,1,78,bad,POKA,0.878838296
Mas04_Kob_0327_2,4,15,0.193641,0.213546,0.019905,1.981845512,17.64695949,39.2925,38.4362,-0.8563,47.719,50.1032,2.3842,2.236067977,2.828427125,1,1,2.828427125,0,61,87,26,62.375,55.75,-6.625,0,62,1,68,bad,KATACHI,0.643710206
Mas04_Kob_0327_2,4,19,0.229803,0.237316,0.007513,1.551318076,17.40333023,36.6382,36.4224,-0.2158,51.2134,51.6791,0.4657,2.236067977,1,2,2.236067977,4.242640687,3.605551275,46,79,33,59.25,59.5,0.25,0,54,0,34,bad,HOUCHI,0.061920019
Mas04_Kob_0327_2,4,25,0.246213,0.254379,0.008166,5.089867047,18.25642044,34.977,33.7526,-1.2244,52.2567,52.2018,-0.0549,3.16227766,1.414213562,4,2,1.414213562,2,67,88,21,54.75,52.5,-2.25,0,43,0,106,bad,KATACHI,0.293629579
Mas04_Kob_0327_2,4,27,0.254379,0.247007,-0.007372,46.64233499,20.9992642,33.7526,33.6167,-0.1359,52.2018,51.1007,-1.1011,1,1.414213562,1,1,0,1.414213562,77,89,12,50.625,48,-2.625,0,24,0,87,bad,OTUKIAI,0.553046541
Mas04_Kob_0327_2,4,47,0.22708,0.237378,0.010298,26.69698602,20.36807913,33.935,33.5007,-0.4343,48.3427,48.5951,0.2524,2,1,2.236067977,2.236067977,1,0,35,74,39,58.75,46.875,-11.875,0,27,1,78,bad,HOUCHI,0.884758305
Mas04_Sue_0327_2,4,33,0.225248,0.223616,-0.001632,15.50264225,22.20645334,38.1098,37.6129,-0.4969,51.4877,50.6202,-0.8675,1,1.414213562,1,2.236067977,2.828427125,3.16227766,57,82,25,55.5,54.75,-0.75,0,34,0,22,bad,HOUCHI,0.391258214
Mas04_Sue_0327_2,4,35,0.223616,0.233934,0.010318,22.56863919,21.30530726,37.6129,36.4283,-1.1846,50.6202,51.5294,0.9092,1,2,1,3.16227766,3,3.605551275,52,75,23,63.25,54.875,-8.375,0,81,0,91,bad,HOUCHI,0.417929111
Mas05_cho_0327_3,4,23,0.174962,0.201569,0.026607,67.82007355,20.17564496,41.6351,36.5082,-5.1269,45.4719,44.5381,-0.9338,2,5,3.605551275,9.219544457,10.81665383,5.830951895,71,90,19,66.875,63.875,-3,0,36,0,37,bad,CHIISAI,0.20200434
Mas05_cho_0327_3,4,31,0.193287,0.19581,0.002523,29.53089001,20.53301286,36.82,38.2323,1.4123,43.5959,45.0553,1.4594,1,1.414213562,1,1.414213562,2.236067977,2.236067977,68,92,24,61.5,60.125,-1.375,0,32,0,62,bad,AJIKESHI,0.207715758
Mas05_cho_0327_3,4,37,0.204947,0.220153,0.015206,4.367450425,18.90990262,37.4108,33.8657,-3.5451,46.3371,45.6808,-0.6563,2,3.16227766,1.414213562,1.414213562,1.414213562,2.828427125,89,94,5,48.375,48.875,0.5,0,27,0,64,bad,KATACHI,0.037154933
Mas05_cho_0327_3,4,41,0.220582,0.230556,0.009974,0.091066335,13.63588616,32.2646,28.2461,-4.0185,44.3644,41.2629,-3.1015,6.08276253,1.414213562,5,5.830951895,4.123105626,3,70,98,28,74.625,66.375,-8.25,0,18,1,122,bad,IKKI,0.496425694
Mas05_cho_0327_3,4,45,0.238643,0.234385,-0.004258,1.179287332,17.12674778,27.3952,30.3698,2.9746,40.1376,43.6525,3.5149,2.236067977,1.414213562,2.236067977,2.236067977,0,1.414213562,54,78,24,67.5,68.25,0.75,0,63,0,12,bad,BIBIRI,0.398616672
