,Unnamed: 0,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,label
742,742,Yam08_Kob_0301_2,4,5,0.001,-6.907755278982138,0.9979592251800212,0.9973088212320572,-0.0006504039479637846,47.47754784911356,43.28177146820139,-4.195776380912172,11.31370849898476,0.3608109468699088,0.5573975761886547,-0.19658662931874588,3
743,743,Yam08_Kob_0301_2,4,73,0.0010171534959226847,-6.890747243193716,0.007825659124948592,0.003278179811895155,-0.004547479313053437,-14.485980671617806,-20.967691253155948,-6.481710581538144,6.4031242374328485,-0.9993200446114764,-0.9904797625899796,-0.008840282021496892,0
744,744,Yam08_Kob_0301_2,4,43,0.0006487665232270956,-7.340437654479658,0.9904213888371928,0.9787656148159604,-0.011655774021232412,22.822954832487458,17.49977284478189,-5.3231819877055715,3.1622776601683795,0.9633228627932392,-0.4076835317192084,1.3710063945124478,1
745,745,Yam08_Kob_0301_2,4,61,0.2919013500213623,-1.2313393761880478,0.3037024349162648,0.017331651388754254,-0.2863707835275105,-1.582446737093334,-13.44123346990657,-11.858786732813233,9.055385138137416,-0.9417040043764682,-0.3143492120972575,-0.6273547922792106,6
746,746,Tak05_Kob_0328_5,2,45,0.001,-6.907755278982138,0.9823050984913444,0.9606554287610468,-0.021649669730297583,13.475325894658232,12.3726853814476,-1.1026405132106325,2.23606797749979,-0.8982286007361826,-0.9341029416434414,0.03587434090725883,4
747,747,Tak05_Kob_0328_5,2,69,0.004912439733743668,-5.3159845698022306,0.7489133125253676,0.03666741370169136,-0.7122458988236763,1.61900410447467,-4.9412792113198565,-6.560283315794527,2.0,0.874935284917002,-0.959313998856962,1.834249283773964,1
748,748,Tak05_Kob_0328_5,2,19,0.001,-6.907755278982138,0.9956451620777008,0.9936035636715072,-0.002041598406193445,29.0185499971823,22.743223165279282,-6.275326831903023,1.4142135623730951,0.7625020258247247,0.9252847107443756,-0.16278268491965076,1
749,749,Tak05_Kob_0328_5,2,63,0.001,-6.907755278982138,0.07543660351538127,0.061708186519512265,-0.013728416995869021,-3.659866385857008,-3.814479319963097,-0.15461293410608867,5.830951894845301,0.9064720780701768,0.9851761322473104,-0.07870405417713344,1
750,750,Tak05_Kob_0328_5,2,21,0.001,-6.907755278982138,0.9939405147384396,0.9940716543416591,0.00013113960321931015,23.478608569695393,23.14176380198992,-0.3368447677054718,0.0,0.11299247261568095,0.06957114352474683,0.043421329090934116,1
751,751,Yam03_Sue_0223_3,3,35,0.038570523262023926,-3.2552669402990877,0.9943162738462328,0.9888212092368748,-0.0054950646093578906,17.532979873085733,14.743746583822087,-2.7892332892636453,8.94427190999916,0.8593146096522242,-0.6782696915847107,1.5375843012369348,1
752,752,Yam03_Sue_0223_3,3,51,0.0016486155800521376,-6.407819385655378,0.9047906817812064,0.05762087197030541,-0.8471698098109008,5.502499944476856,-4.636085703607182,-10.138585648084039,7.810249675906653,0.5502119031043237,0.9713304598702002,-0.4211185567658765,4
753,753,Yam03_Sue_0223_3,3,37,0.20920278131961825,-1.5644512518528917,0.9948091261311962,0.992026758008298,-0.002782368122898227,17.072006746489283,16.05243744032719,-1.0195693061620936,4.123105625617661,0.8764068809443875,-0.7623177545456148,1.6387246354900022,1
754,754,Yam03_Sue_0223_3,3,53,0.0006708804867230357,-7.306919549042687,0.06022320401488535,0.022532228584307368,-0.037690975430577985,-4.492398975199563,-6.1780239126988405,-1.6856249374992762,5.385164807134505,0.3445270729921008,0.9020089255591764,-0.5574818525670757,1
755,755,Yam03_Sue_0223_3,3,49,0.001,-6.907755278982138,0.9904123535043758,0.8980332307484996,-0.09237912275587623,12.429099905972324,5.157339837392863,-7.271760068579461,7.211102550927977,0.8931883268571768,0.8963189687338591,-0.0031306418766822164,0
756,756,Yam03_Sue_0223_3,3,55,0.06403986364603043,-2.7482495200559143,0.024115929697701155,0.014626016752634419,-0.009489912945066736,-5.715238426535751,-8.124729979828626,-2.4094915532928747,5.0990195135927845,0.9547788184789676,0.7334057887887423,0.2213730296902252,2
757,757,Yam03_Sue_0223_3,3,83,0.014950167387723924,-4.20303278270485,0.0027490837500356857,0.0018968747612170265,-0.000852208988818659,-8.391293644986481,-10.348396537073613,-1.9571028920871318,11.04536101718726,-0.9715999425527552,-0.9963690218786986,0.02476907932594341,0
758,758,Yam03_Sue_0223_3,3,57,0.001,-6.907755278982138,0.0304970330757518,0.013888835181921522,-0.016608197893830282,-4.26572749237647,-8.662976516594311,-4.3972490242178415,3.1622776601683795,0.9647188350653534,0.8886230484225428,0.07609578664281058,0
759,759,Yam03_Sue_0223_3,3,91,0.001572258654050529,-6.455242060309964,0.009415396454187874,0.0021036776758527327,-0.00731171877833514,-4.2559368615046695,-9.905558351554708,-5.649621490050036,6.4031242374328485,-0.9882791995407229,-0.9986550955124609,0.010375895971738158,3
760,760,Yam03_Sue_0223_3,3,93,0.0019278194522485137,-6.251365732278078,0.0029880538825272085,0.001416094540575008,-0.0015719593419522007,-6.053698583827425,-10.306735026850085,-4.253036443022657,3.0,-0.9951609039979228,-0.9989483051951288,0.003787401197206108,0
761,761,Tak02_Kob_0328_2,3,11,0.0363968163728714,-3.3132739704482432,0.9966056102194141,0.9968418837439438,0.0002362735245298176,40.563924087920704,36.3005612789221,-4.263362808998593,7.211102550927977,0.6272932961654533,0.6524140308353007,-0.025120734669847437,1
762,762,Tak02_Kob_0328_2,3,33,0.0006369929178617895,-7.358752020410289,0.9957138072303152,0.995035030247106,-0.0006787769832093947,17.62119478089103,15.753691440303664,-1.8675033405873676,2.0,0.545911041278781,0.8340738196247975,-0.28816277834601656,1
763,763,Tak02_Kob_0328_2,3,65,0.0005968002951703966,-7.423928014486378,0.9977680569628344,0.997615782394016,-0.00015227456881838908,37.457309364263814,32.6808677130919,-4.776441651171915,2.23606797749979,-0.6757719341898748,0.9624690494229784,-1.6382409836128533,1
764,764,Tak02_Kob_0328_2,3,51,0.001,-6.907755278982138,0.997350858170004,0.99653141698325,-0.0008194411867542549,36.484171481025015,27.44475970335307,-9.039411777671948,3.1622776601683795,0.9097692450175754,0.9955918039061176,-0.08582255888854208,2
