,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,label
128,4,39,0.001158882,-6.760299891,0.996954201,0.997510472,0.000556271,58.97909774,48.74798997,-10.23110777,8.062257748,0.445950732,0.671907046,-0.225956314,1
129,4,47,0.022670625,-3.786685255,0.98231378,0.96241403,-0.01989975,18.204976,13.01870563,-5.186270371,1,0.245485095,-0.147756043,0.393241138,0
130,4,77,0.001192816,-6.731438129,0.000868454,0.000789108,-7.93E-05,-8.020737012,-10.41536292,-2.394625907,6,-0.985460587,-0.986486007,0.00102542,0
131,2,113,0.001,-6.907755279,0.996174954,0.996220943,4.60E-05,20.53647359,15.57150226,-4.96497133,5.830951895,-0.994110965,0.999263747,-1.993374712,0
132,2,59,0.000980157,-6.927798094,0.99805963,0.986273265,-0.011786365,23.86872256,17.58971685,-6.279005705,9,-0.447869499,0.232552426,-0.680421926,0
133,2,77,0.00200745,-6.210890262,0.9973703,0.997326598,-4.37E-05,21.20406915,13.30245641,-7.901612747,4.472135955,0.997846743,0.997177223,0.00066952,0
134,4,89,0.017216822,-4.061868342,0.000701359,0.00078354,8.22E-05,-41.1251361,-45.58322198,-4.458085879,8.246211251,0.991974967,0.99174717,0.000227798,0
135,2,79,0.245463923,-1.404605297,0.885438655,0.659832323,-0.225606332,6.06870209,0.792498572,-5.276203518,3,-0.707740231,-0.828237612,0.120497381,0
136,4,39,0.001080693,-6.830152366,0.997767549,0.997789932,2.24E-05,50.73256007,49.58960779,-1.142952286,0,0.926605093,0.190168568,0.736436525,0
137,2,53,0.000949416,-6.95966397,0.887246336,0.874072938,-0.013173398,4.657587714,4.875469287,0.217881573,0,-0.668325131,0.712087619,-1.38041275,0
138,4,15,0.001727845,-6.360880213,0.996685826,0.996565683,-0.000120142,47.18466794,45.68586189,-1.49880605,0,0.542663393,0.87012359,-0.327460198,0
139,4,25,0.001,-6.907755279,0.997487176,0.997506647,1.95E-05,58.78549672,58.55635063,-0.229146089,0,0.366984426,0.415710399,-0.048725973,0
