name,move,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,label
Yam01_cho_0223_1,29,0.458683823,0.35115157,-0.107532253,-0.217788215,-0.991329458,-0.773541243,1
Yam07_cho_0301_1,55,0.166015949,0.106949245,-0.059066705,-2.845494248,-4.088649038,-1.24315479,1
Koi04_Sue_0328_4,17,0.996037744,0.995790222,-0.000247522,21.23793965,20.03017722,-1.20776243,1
Yas18_Kob_0328_18,9,0.997111421,0.995728197,-0.001383223,19.92262266,17.6165333,-2.306089358,1
Tak08_Kob_0329_1,95,0.998893454,0.998888936,-4.52E-06,33.11761376,40.12219225,7.004578486,1
Oon09_Sue_0329_9,77,0.002956885,0.002917412,-3.95E-05,-7.056680245,-11.70369716,-4.647016913,1
Yam03_Sue_0223_3,17,0.998579542,0.999637638,0.001058097,27.08140373,43.92995573,16.848552,1
Mas04_Sue_0327_2,1,0.999858208,0.999842797,-1.54E-05,49.75295108,47.3480342,-2.404916879,1
Oon07_cho_0329_7,59,0.972083266,0.971923006,-0.00016026,8.767637806,9.132603592,0.364965787,1
Yam15_Sue_0316_4,13,0.999563296,0.999542129,-2.12E-05,41.13707038,38.52842729,-2.608643096,1
Yam10_cho_0301_4,47,0.998604823,0.997878407,-0.000726416,21.65816733,18.02973228,-3.628435048,1
Sat17_cho_0304_3,19,0.998891125,0.998472235,-0.00041889,30.22249946,25.16260093,-5.059898529,1
Tak16_cho_0329_9,35,0.919526782,0.920834892,0.00130811,4.66627557,4.773440164,0.107164594,1
Sat12_Sue_0303_2,83,0.000894439,0.00108739,0.000192951,-49.86746068,-58.68604874,-8.818588063,1
Oon05_Kob_0329_5,61,0.99082804,0.418698101,-0.572129939,13.07955286,-1.437943299,-14.51749616,1
Oon04_cho_0329_4,115,0.993860225,0.995007627,0.001147402,21.33440935,15.34750795,-5.986901397,1
Tak08_Kob_0329_1,45,0.998459561,0.998450992,-8.57E-06,40.60591054,42.19313693,1.587226385,1
Tak08_Kob_0329_1,107,0.999224211,0.998299947,-0.000924264,44.54418565,91.63803238,47.09384673,1
Sat04_cho_0301_2,57,0.037271065,0.037732837,0.000461772,-3.100005416,-3.404481983,-0.304476567,1
Sat01_Ike_0229_1,87,0.00056604,0.00056438,-1.66E-06,-37.5688223,-41.21137224,-3.642549936,1
Tak16_cho_0329_9,7,0.994773866,0.994240104,-0.000533762,15.64997339,14.82547721,-0.824496178,1
Sat04_Sue_0301_2,57,0.03712131,0.035904769,-0.001216541,-3.107544017,-3.392027,-0.284482984,1
Oon11_Kob_0329_11,75,0.844096166,0.843257294,-0.000838872,5.88250512,5.999347539,0.116842418,1
Oon05_Kob_0329_5,29,0.995649054,0.994597669,-0.001051385,20.10995422,14.92369607,-5.186258149,1
Yam03_Sue_0223_3,99,0.999216295,0.999579389,0.000363095,30.67450161,44.96119835,14.28669674,1
Sat05_Kob_0301_3,53,0.989852411,0.850912682,-0.138939729,40.32032723,7.027042941,-33.29328429,1
Tak08_Kob_0329_1,77,0.998673505,0.999188648,0.000515143,55.08345309,56.42103083,1.337577735,1
Yam09_Sue_0301_3,3,0.99975639,0.999697702,-5.87E-05,44.11676131,42.02449671,-2.092264604,1
Koi03_Sue_0328_3,7,0.997094435,0.996657408,-0.000437027,20.95497781,20.49499012,-0.45998769,1
Sat08_Kob_0302_2,111,0.001459271,0.000977081,-0.00048219,-5.440196577,-6.120736646,-0.680540069,1
Yas06_Sue_0328_6,9,0.997375958,0.996928717,-0.000447242,20.56928982,19.29622778,-1.273062035,1
Kat03_Sue_0326_3,11,0.99969715,0.999476144,-0.000221006,41.12950047,38.86375856,-2.265741909,1
Sat15_Sue_0304_1,93,0.012360311,0.012156521,-0.00020379,-73.09709422,-75.00583968,-1.908745455,1
